trial,condition,time,side,outcome,time_of_day,date,last_jump,first_jump_in_trial,true_trial,last_jump_comparison,first_jump_comparison,time_elapsed(min),tidal_cycle
1,w/l,6:05,water,escape,9:44,8/5,,water,1,FALSE,wat-wat,,#REF!
1,w/l,6:05,water,escape,9:44,8/5,water,water,1,wat-wat,wat-wat,0,#REF!
1,w/l,12:14,land,return,9:44,8/5,water,water,1,wat-lan,wat-lan,6.15,#REF!
1,w/l,12:31,water,escape,9:44,8/5,land,water,1,lan-wat,wat-wat,0.2833333333,#REF!
1,w/l,15:23,land,return,9:44,8/5,water,water,1,wat-lan,wat-lan,2.866666667,#REF!
1,w/l,18:02,water,escape,9:44,8/5,land,water,1,lan-wat,wat-wat,2.65,#REF!
1,w/l,18:13,water,escape,9:44,8/5,water,water,1,wat-wat,wat-wat,0.1833333333,#REF!
1,w/l,18:26,water,escape,9:44,8/5,water,water,1,wat-wat,wat-wat,0.2166666667,#REF!
1,w/l,18:41,water,escape,9:44,8/5,water,water,1,wat-wat,wat-wat,0.25,#REF!
2,w/l,7:58,water,escape,10:03,8/5,,water,1,FALSE,wat-wat,,#REF!
2,w/l,7:58,water,escape,10:03,8/5,water,water,1,wat-wat,wat-wat,0,#REF!
2,w/l,10:39,water,escape,10:03,8/5,water,water,1,wat-wat,wat-wat,2.683333333,#REF!
2,w/l,12:57,land,return,10:03,8/5,water,water,1,wat-lan,wat-lan,2.3,#REF!
2,w/l,15:13,land,return,10:03,8/5,land,water,1,lan-lan,wat-lan,2.266666667,#REF!
3,l/w,2:57,land,return,10:41,8/5,,land,1,FALSE,lan-lan,,#REF!
3,l/w,5:21,land,return,10:41,8/5,land,land,1,lan-lan,lan-lan,2.4,#REF!
3,l/w,8:30,water,escape,10:41,8/5,land,land,1,lan-wat,lan-wat,3.15,#REF!
3,l/w,9:49,water,escape,10:41,8/5,water,land,1,wat-wat,lan-wat,1.316666667,#REF!
3,l/w,9:56,water,escape,10:41,8/5,water,land,1,wat-wat,lan-wat,0.1166666667,#REF!
3,l/w,10:07,water,escape,10:41,8/5,water,land,1,wat-wat,lan-wat,0.1833333333,#REF!
3,l/w,11:14,land,escape,10:41,8/5,water,land,1,wat-lan,lan-lan,1.116666667,#REF!
3,l/w,11:34,land,return,10:41,8/5,land,land,1,lan-lan,lan-lan,0.3333333333,#REF!
3,l/w,13:40,land,return,10:41,8/5,land,land,1,lan-lan,lan-lan,2.1,#REF!
3,l/w,13:40,land,return,10:41,8/5,land,land,1,lan-lan,lan-lan,0,#REF!
3,l/w,18:55,land,escape,10:41,8/5,land,land,1,lan-lan,lan-lan,5.25,#REF!
3,l/w,4:42,land,escape,10:41,8/5,land,land,1,lan-lan,lan-lan,9.78,#REF!
4,l/w,7:54,land,return,11:05,8/5,,land,1,FALSE,lan-lan,,#REF!
5,w/w,5:07,water,escape,11:27,8/5,,water,2,FALSE,wat-wat,,#REF!
5,w/w,6:38,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,1.516666667,#REF!
5,w/w,6:40,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0.03333333333,#REF!
5,w/w,6:40,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0,#REF!
5,w/w,7:14,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0.5666666667,#REF!
5,w/w,7:14,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0,#REF!
5,w/w,7:59,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0.75,#REF!
5,w/w,8:04,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0.08333333333,#REF!
5,w/w,8:17,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,0.2166666667,#REF!
5,w/w,11:30,water,escape,11:27,8/5,water,water,2,wat-wat,wat-wat,3.216666667,#REF!
6,w/w,2:58,water,escape,11:50,8/5,,water,2,FALSE,wat-wat,,#REF!
6,w/w,3:22,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.4,#REF!
6,w/w,4:31,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,1.15,#REF!
6,w/w,6:48,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,2.283333333,#REF!
6,w/w,7:01,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.2166666667,#REF!
6,w/w,7:41,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.6666666667,#REF!
6,w/w,7:45,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.06666666667,#REF!
6,w/w,8:24,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.65,#REF!
6,w/w,8:24,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0,#REF!
6,w/w,9:04,water,escape,11:50,8/5,water,water,2,wat-wat,wat-wat,0.6666666667,#REF!
7,w/w,2:54,water,escape,12:20,8/5,,water,2,FALSE,wat-wat,,#REF!
7,w/w,3:59,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,1.083333333,#REF!
7,w/w,4:14,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,0.25,#REF!
7,w/w,5:39,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,1.416666667,#REF!
7,w/w,6:09,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,0.5,#REF!
7,w/w,6:24,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,0.25,#REF!
7,w/w,6:29,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,0.08333333333,#REF!
7,w/w,6:55,water,escape,12:20,8/5,water,water,2,wat-wat,wat-wat,0.4333333333,#REF!
